[2020-03-15 18:13:42,247] INFO [ReplicaAlterLogDirsManager on broker 0] shutting down (kafka.server.ReplicaAlterLogDirsManager)
[2020-03-15 18:13:42,247] INFO [ReplicaAlterLogDirsManager on broker 0] shutdown completed (kafka.server.ReplicaAlterLogDirsManager)
[2020-03-15 18:13:42,248] INFO [ExpirationReaper-0-Fetch]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,330] INFO [ExpirationReaper-0-Fetch]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,330] INFO [ExpirationReaper-0-Fetch]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,332] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,438] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,438] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,439] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,638] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,638] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,640] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,842] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,842] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,847] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2020-03-15 18:13:42,848] INFO Shutting down. (kafka.log.LogManager)
[2020-03-15 18:13:42,906] INFO [ProducerStateManager partition=__consumer_offsets-3] Writing producer snapshot at offset 2 (kafka.log.ProducerStateManager)
[2020-03-15 18:13:42,913] INFO [ProducerStateManager partition=__consumer_offsets-44] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-03-15 18:13:42,914] INFO [ProducerStateManager partition=report-0] Writing producer snapshot at offset 4 (kafka.log.ProducerStateManager)
[2020-03-15 18:13:42,929] INFO Shutdown complete. (kafka.log.LogManager)
[2020-03-15 18:13:42,939] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2020-03-15 18:13:43,622] INFO Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
[2020-03-15 18:13:43,724] INFO EventThread shut down for session: 0x10019de15e10000 (org.apache.zookeeper.ClientCnxn)
[2020-03-15 18:13:43,724] INFO Session: 0x10019de15e10000 closed (org.apache.zookeeper.ZooKeeper)
[2020-03-15 18:13:43,727] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2020-03-15 18:13:43,727] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:43,922] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:43,922] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:43,922] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:44,923] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:44,923] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:44,926] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:45,926] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:45,926] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-03-15 18:13:45,929] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2020-03-15 18:13:45,951] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2020-03-15 18:13:45,955] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
